id,name,country,state_code,state,type,latitude,longitude,area_code,population,household,median_in_land,area_water,time_zone
219,Samanthachester,Malaysia,HI,Hawaii,Town,43.709,-121.5631,272,164962,54595,23883,3.09,Pacific/Los_Angeles
220,Markfurt,Northern Mariana Islands,WI,Wisconsin,Village,42.0599,-80.0593,283,470488,179131,128723,3.1,Central/Chicago
221,Stephenstown,French Southern Territories,CT,Connecticut,City,25.2352,-86.7426,518,280005,122428,40508,1.21,Central/Chicago
222,Blevinsshire,Holy See (Vatican City State),LA,Louisiana,City,42.6184,-79.8376,446,459068,214321,129147,0.79,Eastern/New_York
223,South Craig,Pitcairn Islands,PR,Puerto Rico,Hamlet,40.9118,-105.3108,960,79969,30943,105513,3.48,Central/Chicago
224,Kimberlyport,Mongolia,TN,Tennessee,CDP,32.4197,-103.3045,214,287340,135266,114491,4.07,Mountain/Denver
225,Ashleytown,Russian Federation,AL,Alabama,Town,37.3902,-112.0585,520,162206,67413,100464,2.32,Central/Chicago
226,South Veronica,Somalia,TN,Tennessee,Town,34.0379,-102.628,674,267036,101221,108987,2.28,Central/Chicago
227,Lake Staceyberg,Swaziland,FL,Florida,Town,45.0884,-69.7298,497,426864,142238,43931,0.66,Mountain/Denver
228,Murphymouth,Togo,VA,Virginia,CDP,25.2534,-90.0486,503,8756,2807,65214,3.7,Mountain/Denver
229,Mitchellview,United States Virgin Islands,KS,Kansas,City,43.2852,-108.8244,215,16739,7042,92403,2.81,Mountain/Denver
230,Danielshire,Guernsey,CO,Colorado,Hamlet,25.2965,-109.4324,496,411695,180191,95927,0.45,Mountain/Denver
231,Stephaniemouth,Bhutan,AL,Alabama,CDP,25.5283,-77.8167,297,181549,62599,130053,2.56,Central/Chicago
232,Lake Anna,Malawi,WI,Wisconsin,City,28.2578,-112.1149,622,267243,108687,55296,3.94,Pacific/Los_Angeles
233,Millerland,Bosnia and Herzegovina,OR,Oregon,CDP,37.155,-121.9756,539,50730,17476,139466,1.13,Pacific/Los_Angeles
234,New Joseph,Guyana,SC,South Carolina,Village,26.9903,-67.0606,337,274191,135106,63524,0.97,Pacific/Los_Angeles
235,Tammyport,Equatorial Guinea,TX,Texas,Hamlet,27.5818,-87.2941,689,66489,28300,70537,0.86,Central/Chicago
236,Danielmouth,United States of America,KS,Kansas,Town,42.094,-102.5196,492,357208,114273,37794,0.59,Central/Chicago
237,New Matthew,United Arab Emirates,OK,Oklahoma,CDP,28.6024,-96.9408,675,286949,121200,94678,1.18,Central/Chicago
238,Michelleside,Lithuania,PA,Pennsylvania,Village,32.5479,-82.3434,249,83794,31111,89170,4.46,Pacific/Los_Angeles
239,New Richard,Aruba,KY,Kentucky,Town,41.0476,-112.3824,570,248877,122191,81720,3.22,Central/Chicago
240,Danielsfort,Saint Kitts and Nevis,FL,Florida,CDP,31.4109,-82.9904,357,488183,158998,34500,4.37,Pacific/Los_Angeles
241,Lake Gloria,Lesotho,NE,Nebraska,CDP,26.4257,-74.3018,476,476209,170936,25012,0.42,Mountain/Denver
242,West Stephenport,Gambia,NY,New York,Village,31.0306,-85.3929,716,324398,123332,33990,0.57,Mountain/Denver
243,Villaton,Guadeloupe,MD,Maryland,City,27.9298,-79.1029,810,128499,40620,93481,0.29,Eastern/New_York
244,West Frank,Azerbaijan,VA,Virginia,City,31.4588,-97.5769,332,253050,106893,144117,3.82,Eastern/New_York
245,New Gregory,Albania,WV,West Virginia,CDP,28.9213,-121.5149,281,167516,57273,63634,3.89,Pacific/Los_Angeles
246,Velasquezport,Burkina Faso,DC,District of Columbia,City,47.2386,-84.5993,663,163128,60535,51099,3.17,Mountain/Denver
247,Morganfort,Bolivia,SC,South Carolina,CDP,34.099,-115.3892,857,248103,117180,34101,1.65,Eastern/New_York
248,North Erinside,United Arab Emirates,NE,Nebraska,City,38.1217,-68.1992,919,151350,70522,23836,3.03,Mountain/Denver
249,Pattersonland,Jordan,MD,Maryland,City,31.3543,-112.6434,718,67873,26754,102584,1.65,Mountain/Denver
250,West John,Azerbaijan,FL,Florida,City,35.0997,-67.8247,247,492650,209452,51579,1.08,Mountain/Denver
251,Marcusport,Morocco,CA,California,Hamlet,38.5605,-111.9821,400,40528,16225,22747,0.45,Eastern/New_York
252,Brooksfort,Papua New Guinea,OR,Oregon,Hamlet,39.277,-109.5413,737,327703,156774,62770,0.24,Pacific/Los_Angeles
253,Port Marcoshire,Italy,WA,Washington,Village,31.8251,-79.3223,847,42146,19796,43989,1.1,Central/Chicago
254,Brandonland,Cyprus,VT,Vermont,Village,33.1009,-107.7614,841,282763,95559,67110,1.29,Eastern/New_York
255,New Lucasview,Slovenia,HI,Hawaii,Hamlet,39.089,-87.857,473,496674,203121,108605,1,Eastern/New_York
256,South Christina,Denmark,WV,West Virginia,Town,41.4866,-113.0891,402,209837,85118,24324,2.28,Mountain/Denver
257,Robertstad,Czech Republic,UT,Utah,Town,30.9235,-95.0359,446,467854,154631,105790,2.38,Central/Chicago
258,West Kenneth,Senegal,IA,Iowa,Hamlet,26.1541,-70.087,772,270446,113439,21892,4.8,Central/Chicago
259,Brittanyfurt,Panama,AL,Alabama,City,31.3882,-90.247,948,30455,13051,41765,2.85,Pacific/Los_Angeles
260,Jessicachester,Portugal,NY,New York,Hamlet,40.3939,-100.2489,398,182558,81258,23215,2.13,Mountain/Denver
261,Smithhaven,Jordan,NM,New Mexico,Village,48.9281,-119.4546,392,470333,190725,88087,2.69,Mountain/Denver
262,North Ariana,Ethiopia,AZ,Arizona,City,44.6353,-67.5183,369,228303,110910,111538,4.95,Pacific/Los_Angeles
263,West Johnfurt,Malta,IA,Iowa,Hamlet,29.3012,-103.4772,930,49720,22183,119503,0.78,Eastern/New_York
264,West John,Solomon Islands,MA,Massachusetts,Village,45.2828,-119.3768,254,49481,15036,82369,2.88,Pacific/Los_Angeles
265,East Cory,Antigua and Barbuda,UT,Utah,Town,32.6322,-98.2979,704,428328,189899,36372,0.17,Pacific/Los_Angeles
266,New Valerieborough,Djibouti,HI,Hawaii,City,42.2648,-71.7126,508,12492,4139,66960,0.59,Mountain/Denver
267,Johnsonmouth,Eritrea,WY,Wyoming,City,27.935,-97.7835,300,134944,42991,78930,4.9,Mountain/Denver
268,North Adam,Taiwan,NC,North Carolina,Village,29.3622,-106.5663,680,99459,46108,60519,0.19,Eastern/New_York
269,West Tinafort,Namibia,UT,Utah,CDP,38.7357,-82.0917,605,435362,165785,89945,3.94,Pacific/Los_Angeles
270,Port Lucasshire,Turkey,WY,Wyoming,CDP,38.3,-71.9715,511,454783,145047,52715,4.42,Mountain/Denver
271,Christinamouth,Paraguay,RI,Rhode Island,Town,35.3477,-89.7075,226,117684,38428,33514,0.11,Eastern/New_York
272,Aaronhaven,Namibia,NY,New York,Town,41.623,-121.6599,308,228009,84813,31861,3.74,Mountain/Denver
273,New Virginia,Greece,OR,Oregon,Town,36.787,-118.2564,489,206302,92409,124071,3.2,Eastern/New_York
274,Catherinefurt,Ireland,GA,Georgia,Village,43.7639,-84.2165,671,22045,8809,78466,4.13,Central/Chicago
275,Guzmanfort,South Georgia and the South Sandwich Islands,MO,Missouri,Hamlet,47.1313,-102.9005,225,244518,116415,39776,1.33,Pacific/Los_Angeles
276,South Alexander,Guatemala,ME,Maine,Village,26.8988,-101.8654,495,369172,165993,20605,4.33,Pacific/Los_Angeles
277,South Brandon,Djibouti,NY,New York,Village,33.9744,-100.6922,831,309128,117038,125576,0.85,Central/Chicago
278,North Meghan,Palestinian Territory,MO,Missouri,City,28.2871,-117.2036,403,140455,51806,81210,4.58,Central/Chicago
279,Abigailborough,Namibia,NV,Nevada,Town,29.287,-95.022,646,270463,124235,96525,1.62,Mountain/Denver
280,Jerryton,Northern Mariana Islands,MA,Massachusetts,Hamlet,26.517,-76.7107,894,261794,83440,23914,3.69,Mountain/Denver
281,Jeremyborough,Belarus,VA,Virginia,City,38.8826,-99.6793,635,226482,95357,36549,4.96,Mountain/Denver
282,West James,Azerbaijan,TN,Tennessee,Hamlet,46.9299,-100.274,829,371580,119015,89572,0.78,Pacific/Los_Angeles
283,East Matthew,Bolivia,ID,Idaho,CDP,35.9426,-118.7421,670,9303,4121,49849,3.31,Pacific/Los_Angeles
284,Andrewstad,Turkey,AZ,Arizona,Village,30.3554,-82.3714,236,453362,159750,98829,4.2,Pacific/Los_Angeles
285,New Coltonport,Cook Islands,NY,New York,Town,27.9562,-108.9055,754,25630,9947,127977,2.13,Central/Chicago
286,Jonesport,Australia,TX,Texas,Hamlet,35.9729,-80.7856,553,38929,17227,56212,1.64,Mountain/Denver
287,West Josephberg,Singapore,RI,Rhode Island,Village,37.8584,-76.4233,512,174603,71289,79908,3.76,Pacific/Los_Angeles
288,Port Danielchester,Brazil,NE,Nebraska,Hamlet,31.1821,-124.6141,795,222642,85435,136136,3.44,Mountain/Denver
289,Christianville,Isle of Man,AZ,Arizona,CDP,47.4863,-116.8438,790,330131,165043,85803,2.63,Eastern/New_York
290,South Jeffrey,Barbados,ND,North Dakota,Village,29.2267,-107.5392,742,103162,32246,111623,4.76,Eastern/New_York
291,Matthewberg,Ghana,OK,Oklahoma,Hamlet,47.223,-97.6978,530,146827,59534,124115,3.84,Eastern/New_York
292,East Amy,United States Minor Outlying Islands,PR,Puerto Rico,CDP,27.1049,-108.0649,464,472241,197738,33837,3.31,Eastern/New_York
293,Raymouth,Cuba,AR,Arkansas,Village,48.5589,-114.6696,737,129881,40430,148149,3.42,Central/Chicago
294,Port Mark,New Zealand,IL,Illinois,Town,34.455,-97.1932,234,105177,37933,125645,1.8,Central/Chicago
295,Jeffreyton,Micronesia,AK,Alaska,Hamlet,47.5223,-102.2887,375,274868,120323,149688,0.61,Pacific/Los_Angeles
296,West Aaronville,Saint Pierre and Miquelon,ID,Idaho,Town,30.9178,-106.3192,671,306106,95623,76096,4.77,Pacific/Los_Angeles
297,Lefort,Reunion,WI,Wisconsin,Hamlet,41.0594,-99.3202,484,314544,148961,103383,3.29,Mountain/Denver
298,Troyburgh,Congo,ND,North Dakota,Hamlet,34.6284,-98.8475,885,67634,26588,80763,0.36,Mountain/Denver
299,Port William,Austria,WI,Wisconsin,City,44.6242,-118.1058,257,485996,184756,21593,1.99,Mountain/Denver
300,Johnhaven,Cameroon,CT,Connecticut,Village,27.4131,-80.257,746,369017,180564,57669,3.12,Central/Chicago
301,North Kelsey,Pitcairn Islands,IN,Indiana,Town,28.8023,-105.4977,696,281926,126548,27869,3.33,Mountain/Denver
302,Thomasburgh,Samoa,KY,Kentucky,Hamlet,45.7119,-117.5521,710,490740,207608,72295,3.55,Mountain/Denver
303,South Dakotaton,Tonga,IA,Iowa,Town,43.8217,-100.6078,988,445409,219874,61206,2.28,Mountain/Denver
304,Jasonland,Equatorial Guinea,SD,South Dakota,CDP,32.4177,-111.9063,600,58217,20105,128600,4.53,Pacific/Los_Angeles
305,Brownbury,Papua New Guinea,SC,South Carolina,Town,30.2224,-100.9765,992,402441,135887,142231,2.97,Central/Chicago
306,Amymouth,Guinea,CO,Colorado,CDP,47.6816,-109.7992,780,499978,231035,105872,1.87,Mountain/Denver
307,Lake Oliviamouth,Venezuela,CT,Connecticut,CDP,48.0527,-69.6224,302,36259,12217,113574,0.19,Central/Chicago
308,East Nina,Eritrea,DC,District of Columbia,City,39.0434,-93.7167,758,242049,114306,80983,2.02,Mountain/Denver
309,Glennview,Libyan Arab Jamahiriya,SD,South Dakota,Hamlet,48.205,-95.7681,868,12535,3940,121796,2.67,Central/Chicago
310,Lake Tara,Iran,MD,Maryland,Town,35.6331,-105.104,433,65720,26070,75238,1.39,Eastern/New_York
311,Thomastown,Libyan Arab Jamahiriya,MT,Montana,Village,29.6594,-115.9311,407,87111,31228,97616,0.35,Eastern/New_York
312,Moralesbury,South Georgia and the South Sandwich Islands,NJ,New Jersey,CDP,44.8274,-115.3071,207,264487,130667,20144,4.73,Eastern/New_York
313,East Derrickland,China,DE,Delaware,City,33.041,-103.534,598,263700,80381,37650,2.02,Eastern/New_York
314,East Mauriceside,Burundi,PA,Pennsylvania,Town,47.4299,-67.7063,630,303045,109587,54402,4.3,Central/Chicago
315,Robinsonmouth,Cameroon,NY,New York,Village,31.7046,-109.2308,845,289358,112499,132383,2.78,Pacific/Los_Angeles
316,South Renee,Djibouti,NC,North Carolina,Village,46.9629,-80.0818,678,260134,99567,67826,1.62,Mountain/Denver
317,Jonesmouth,Germany,LA,Louisiana,Hamlet,26.7744,-123.3979,365,282000,95601,57990,3.66,Pacific/Los_Angeles
318,Jessicatown,Cameroon,AZ,Arizona,Town,35.5879,-87.0255,745,20335,8305,106693,2.77,Mountain/Denver
319,Brownstad,Armenia,MD,Maryland,Hamlet,36.002,-69.7907,960,370897,118648,51425,4.76,Central/Chicago
320,Johnsonbury,Iceland,NH,New Hampshire,Town,36.4285,-113.0752,636,79967,25091,28263,3.45,Central/Chicago
321,Lake Tricia,Qatar,ME,Maine,Town,34.9646,-118.6352,447,91159,37744,96348,0.48,Central/Chicago
322,Colonborough,New Caledonia,WI,Wisconsin,CDP,47.0874,-108.3451,514,387663,183168,110682,1.29,Central/Chicago
323,North Danielstad,Bouvet Island (Bouvetoya),IL,Illinois,Town,41.1827,-100.2941,808,303831,114059,121061,2.29,Central/Chicago
324,North Georgechester,Nigeria,WI,Wisconsin,City,37.9104,-79.0646,460,244488,117788,37693,0.78,Mountain/Denver
325,Andersonfort,Honduras,OK,Oklahoma,Village,26.1526,-106.9606,473,113123,51551,107079,4.12,Central/Chicago
326,Davisshire,Jordan,MO,Missouri,CDP,28.0802,-80.2221,619,77716,34279,32056,2.9,Mountain/Denver
327,Lake Kimberlyberg,Somalia,NJ,New Jersey,Hamlet,32.0659,-75.5456,682,12535,4203,114061,3,Mountain/Denver
328,Christinaland,Niue,IN,Indiana,City,46.8345,-68.5612,270,357447,121608,39069,0.78,Central/Chicago
329,East Alan,Mexico,MI,Michigan,Town,29.093,-98.1289,694,202507,92044,134177,1.49,Eastern/New_York
330,East Sean,Denmark,NJ,New Jersey,City,29.0335,-122.3141,675,212490,82948,31351,4.49,Mountain/Denver
331,Kimberlystad,American Samoa,NC,North Carolina,CDP,41.5747,-68.4058,239,170119,59520,113505,3.37,Eastern/New_York
332,Smithburgh,Netherlands,NJ,New Jersey,Hamlet,28.6428,-90.2573,774,321936,99034,100974,1.85,Mountain/Denver
333,Port Rebecca,United Kingdom,WA,Washington,Village,37.8228,-104.2157,904,81722,28605,104209,3.13,Pacific/Los_Angeles
334,Taylorburgh,Sao Tome and Principe,CO,Colorado,CDP,29.736,-117.8254,292,405856,160303,76599,1.12,Central/Chicago
335,South James,Morocco,MO,Missouri,Town,43.3015,-116.1708,861,123155,58995,43802,2.77,Eastern/New_York
336,East Jennifer,Guyana,NC,North Carolina,Town,30.9206,-77.2822,616,90751,28807,72648,4.26,Eastern/New_York
337,Dillonstad,Saudi Arabia,OR,Oregon,City,38.2318,-113.4085,400,422349,177976,134461,3.9,Eastern/New_York
338,Mcgeeton,Korea,MO,Missouri,Hamlet,36.7821,-109.6844,842,211129,97495,79193,3.88,Central/Chicago
339,Lake Chelseashire,Guyana,PA,Pennsylvania,Town,28.7744,-117.7497,367,63131,29623,52037,4.25,Pacific/Los_Angeles
340,Amyport,Western Sahara,PR,Puerto Rico,Hamlet,37.8074,-104.9638,401,55410,20779,86370,4.09,Mountain/Denver
341,West Cody,Saint Martin,CA,California,Hamlet,44.2032,-112.8714,307,96673,46047,146289,3.87,Eastern/New_York
342,North Meganmouth,Bosnia and Herzegovina,IN,Indiana,Hamlet,38.5565,-102.9381,242,199848,99189,125899,3.3,Mountain/Denver
343,Angelamouth,Luxembourg,MT,Montana,Hamlet,38.5303,-83.3004,219,219679,66121,115593,4.24,Central/Chicago
344,Karitown,Gabon,KY,Kentucky,CDP,39.6906,-116.5415,303,408699,146081,78242,4.52,Pacific/Los_Angeles
345,Port Paula,Swaziland,IA,Iowa,Hamlet,39.1629,-112.038,850,340029,160626,123248,0.61,Pacific/Los_Angeles
346,South Robertoshire,United States Minor Outlying Islands,WA,Washington,City,40.9016,-71.9898,355,305445,152311,35900,1.68,Central/Chicago
347,Seanburgh,Malawi,MS,Mississippi,Hamlet,46.8441,-113.3495,760,357642,156403,109203,4.74,Pacific/Los_Angeles
348,West Mary,Turkey,PA,Pennsylvania,CDP,34.1846,-110.0942,976,393568,193529,143474,4.63,Pacific/Los_Angeles
349,Josechester,French Southern Territories,MN,Minnesota,City,47.9743,-97.4726,665,200988,77031,137734,1.79,Eastern/New_York
350,Thompsonside,Germany,VT,Vermont,Village,30.6547,-92.3683,224,85962,32928,132579,1.03,Mountain/Denver
351,Shawnburgh,Indonesia,WY,Wyoming,Village,27.4638,-73.6304,574,98116,35665,123385,2.38,Eastern/New_York
352,Stouttown,Angola,MN,Minnesota,Town,48.2676,-82.049,986,184127,59761,121040,3.1,Central/Chicago
353,West Meghanstad,Guatemala,KS,Kansas,CDP,39.862,-106.1347,380,56765,22311,45873,1.03,Pacific/Los_Angeles
354,Lake Kayla,Cook Islands,RI,Rhode Island,Village,44.8037,-78.4285,366,277853,106847,37593,4.37,Central/Chicago
355,Evansstad,Slovakia (Slovak Republic),GA,Georgia,CDP,41.1117,-118.1338,525,42112,18313,90025,1.44,Pacific/Los_Angeles
356,Anthonymouth,Israel,ME,Maine,Village,46.2631,-102.1034,991,339831,126643,102393,1.32,Central/Chicago
357,East Samantha,China,DC,District of Columbia,City,47.0209,-113.6531,721,277455,95036,26063,1.38,Eastern/New_York
358,South Juliahaven,Luxembourg,FL,Florida,CDP,48.0539,-72.2738,751,163464,74250,27134,2.95,Eastern/New_York
359,Timothychester,Bahamas,UT,Utah,Town,30.7618,-77.9813,999,239188,88581,129096,1.84,Central/Chicago
360,Burnettfort,Norfolk Island,AL,Alabama,City,46.712,-122.1068,321,324785,125417,131000,0.66,Mountain/Denver
361,Jameshaven,Fiji,WY,Wyoming,Town,28.4883,-80.4511,307,404469,175262,74877,1.49,Eastern/New_York
362,West Edgar,Slovenia,LA,Louisiana,CDP,46.8488,-101.1259,289,343562,110426,106547,1.95,Mountain/Denver
363,East Jamie,Oman,NJ,New Jersey,City,32.5189,-116.1887,572,218903,68387,53632,4.64,Mountain/Denver
364,New Randyport,United States Virgin Islands,MS,Mississippi,City,28.5338,-79.6684,911,126774,62213,95140,4.79,Central/Chicago
365,East Kennethmouth,Heard Island and McDonald Islands,MA,Massachusetts,City,27.4628,-110.6912,879,42448,19244,34799,3.12,Pacific/Los_Angeles
366,Parkerchester,Djibouti,NV,Nevada,City,44.4488,-72.5462,352,40932,16203,58075,4.77,Mountain/Denver
367,New Ann,Libyan Arab Jamahiriya,VT,Vermont,Hamlet,31.5698,-90.6333,852,225789,93747,49211,1.63,Pacific/Los_Angeles
368,Lake Bonnie,Nigeria,PA,Pennsylvania,Village,40.462,-110.9886,232,170954,69866,60129,2.33,Pacific/Los_Angeles
369,Simonmouth,Bangladesh,MS,Mississippi,Hamlet,36.2252,-83.0307,711,257296,83838,85077,4.98,Central/Chicago
370,West Julie,Nigeria,ND,North Dakota,Village,34.8842,-94.3334,795,159988,71338,28466,4.23,Mountain/Denver
371,East Kristin,Martinique,MS,Mississippi,Town,38.7375,-109.4014,570,48440,18386,24054,1.62,Pacific/Los_Angeles
372,North Cheryl,Guadeloupe,GA,Georgia,CDP,35.8051,-73.3912,234,309537,98820,22851,0.37,Central/Chicago
373,Danielchester,Saint Helena,PA,Pennsylvania,Village,28.8481,-107.673,321,459888,166593,100509,1.72,Central/Chicago
374,Zacharyfurt,Ecuador,NC,North Carolina,City,27.5055,-112.9378,935,411922,193016,78931,2.31,Central/Chicago
375,Sandrahaven,Kyrgyz Republic,NY,New York,Village,44.7327,-72.6905,509,93759,43488,46408,4.2,Central/Chicago
376,Alvinland,Isle of Man,OH,Ohio,Town,41.9036,-111.2891,329,489579,206625,129922,3.84,Eastern/New_York
377,Tylerborough,Madagascar,MN,Minnesota,Village,46.1439,-110.9559,506,194063,94366,64480,4.87,Mountain/Denver
378,Francobury,Saint Vincent and the Grenadines,WA,Washington,City,28.6838,-112.5977,401,125520,60093,57865,1.27,Eastern/New_York
379,Williamsville,Lebanon,LA,Louisiana,Hamlet,25.3106,-100.6105,361,178672,57615,97200,3.1,Eastern/New_York
380,South William,Lithuania,OR,Oregon,City,35.7163,-98.2004,346,93830,42535,77800,0.43,Pacific/Los_Angeles
381,North Lorettaborough,Faroe Islands,NE,Nebraska,Town,26.1414,-96.3583,690,366276,179494,123036,3.32,Mountain/Denver
382,Sweeneybury,Turkmenistan,DC,District of Columbia,Village,35.4618,-93.232,889,439404,217195,97317,0.13,Mountain/Denver
383,Port Loriport,Samoa,NC,North Carolina,Village,39.73,-78.0917,894,457815,173315,29116,0.86,Pacific/Los_Angeles
384,North Robert,Saint Lucia,HI,Hawaii,Hamlet,26.4177,-123.6573,863,182750,63865,30336,4.73,Central/Chicago
385,New Matthew,Mali,VA,Virginia,Hamlet,41.5366,-76.2955,413,374043,143961,115721,3.43,Central/Chicago
386,Gutierrezview,Taiwan,SC,South Carolina,CDP,46.9861,-86.0064,954,335871,150859,147274,4.64,Eastern/New_York
387,Coreyfort,San Marino,ME,Maine,Hamlet,37.7968,-71.4845,314,462062,227660,97251,1.83,Eastern/New_York
388,Melissaland,Norway,MN,Minnesota,City,34.9373,-83.6415,962,104777,48715,134407,0.29,Eastern/New_York
389,Port Sherrystad,Cook Islands,PR,Puerto Rico,City,40.0613,-100.4529,611,318614,156531,57872,4.79,Mountain/Denver
390,New Gregoryport,Chad,TN,Tennessee,Village,34.7395,-87.7955,996,257263,77472,62061,0.25,Central/Chicago
391,Lake Theresaburgh,Wallis and Futuna,TN,Tennessee,CDP,41.7572,-115.4525,221,250630,123213,23100,4.5,Pacific/Los_Angeles
392,Williamsberg,Fiji,WV,West Virginia,Hamlet,36.3682,-94.8065,658,285984,108203,23825,2.69,Central/Chicago
393,Riceberg,Marshall Islands,MI,Michigan,Town,28.3506,-94.8969,666,213556,99006,105133,4.91,Eastern/New_York
394,Walkermouth,Bahrain,IL,Illinois,Hamlet,42.7543,-93.214,365,374518,158763,114919,4.11,Mountain/Denver
395,Lake Jacobtown,Morocco,KS,Kansas,City,45.4953,-73.7845,988,476352,193119,91876,3.06,Mountain/Denver
396,Daniellefort,Djibouti,IL,Illinois,Town,27.1035,-92.4275,512,316661,155915,24900,2.1,Pacific/Los_Angeles
397,Lake Jeffrey,Austria,DC,District of Columbia,Hamlet,42.8454,-67.1471,281,281279,87757,69136,2.21,Eastern/New_York
398,Port Amanda,Sweden,SC,South Carolina,City,34.9656,-73.9713,850,383232,171041,58748,2.42,Pacific/Los_Angeles
399,Lake Jeffreyville,Cote d'Ivoire,RI,Rhode Island,City,39.2652,-76.3588,862,11178,5577,25995,3.88,Mountain/Denver
400,West Kayla,Switzerland,CA,California,City,25.5287,-92.9489,301,274976,128926,92890,1.8,Eastern/New_York
401,Port Kyle,Cambodia,WI,Wisconsin,Hamlet,31.2049,-69.7836,830,158563,76322,83160,0.35,Central/Chicago
402,New Shawnchester,China,MA,Massachusetts,CDP,45.1617,-108.5783,730,290581,89250,144505,2.41,Mountain/Denver
403,Camposmouth,Bhutan,IN,Indiana,Hamlet,43.1379,-121.0398,728,32658,13471,100608,2.66,Eastern/New_York
404,Kaylaland,Cyprus,AK,Alaska,CDP,35.1337,-121.0349,456,8716,3813,113421,4.54,Eastern/New_York
405,Seanville,Chad,LA,Louisiana,Village,39.285,-90.0509,504,265220,94185,133249,4.95,Pacific/Los_Angeles
406,Hughesborough,Christmas Island,WI,Wisconsin,Town,40.6261,-83.4745,799,43765,18282,24263,3.88,Central/Chicago
407,Vanessatown,Comoros,AK,Alaska,Town,33.1053,-115.9947,517,460707,201229,94306,2.26,Central/Chicago
408,Chelseabury,Puerto Rico,VT,Vermont,Village,48.63,-116.3391,866,491986,171571,71704,3.12,Central/Chicago
409,Jenniferville,Kyrgyz Republic,AK,Alaska,Village,39.0087,-107.3595,743,474738,167526,80803,3.2,Eastern/New_York
410,Conwayview,Namibia,PA,Pennsylvania,CDP,36.095,-70.4929,453,246138,87187,49779,3.79,Eastern/New_York
411,Mitchellport,Norfolk Island,CT,Connecticut,Hamlet,25.5364,-77.8668,290,163164,81339,54120,3.21,Pacific/Los_Angeles
412,East Lydiabury,Greece,TN,Tennessee,Town,45.3972,-103.5267,294,363567,135250,145311,3.46,Pacific/Los_Angeles
413,Smithfurt,Benin,DC,District of Columbia,CDP,35.151,-105.1726,771,372506,145520,118297,4.2,Pacific/Los_Angeles
414,East Jessica,Portugal,IL,Illinois,City,30.3034,-99.2683,720,473391,168031,68170,1.6,Eastern/New_York
415,Nicholasfurt,Palau,ME,Maine,Hamlet,32.2384,-94.065,383,118332,35877,145707,2.97,Central/Chicago
416,Carlosmouth,South Africa,PR,Puerto Rico,Hamlet,34.1261,-70.0482,435,320985,118036,29205,0.18,Eastern/New_York
417,Johnsonhaven,Netherlands,SD,South Dakota,Village,43.059,-116.3128,258,144319,54041,41737,2.13,Pacific/Los_Angeles
418,Christophertown,Costa Rica,KS,Kansas,Hamlet,25.2585,-92.0203,681,342965,170511,24469,1.04,Central/Chicago
419,Eatonburgh,Paraguay,IL,Illinois,CDP,26.8764,-83.7709,263,229939,113255,100494,1.64,Mountain/Denver
420,Michaelside,Hong Kong,MD,Maryland,Village,27.5082,-102.0142,646,159835,54745,148929,0.42,Pacific/Los_Angeles
421,West Shaunburgh,Saint Martin,IL,Illinois,City,31.5541,-90.8787,291,315557,126287,114018,1.74,Pacific/Los_Angeles
422,Jessicabury,Saint Martin,WI,Wisconsin,City,39.2808,-95.0862,682,257918,107641,63570,0.31,Pacific/Los_Angeles
423,Port Georgehaven,Niger,WY,Wyoming,Hamlet,39.0916,-75.5073,888,462582,227644,25860,3.64,Central/Chicago
424,Jensenview,Norway,MA,Massachusetts,Town,41.8874,-92.1922,652,424375,193441,23796,1.1,Eastern/New_York
425,Diazton,Djibouti,AR,Arkansas,Town,38.5647,-90.2245,897,203041,77920,61299,1.97,Eastern/New_York
426,West Lisaburgh,Montenegro,IL,Illinois,CDP,41.6994,-77.8563,327,94497,33768,119761,2.55,Eastern/New_York
427,Taylorstad,Barbados,NY,New York,City,33.0207,-83.5406,540,278419,111264,37788,4.32,Eastern/New_York
428,Lake Nicoleshire,Saint Barthelemy,MO,Missouri,Town,38.3102,-68.0694,283,51098,22527,125308,3.24,Eastern/New_York
429,East Whitneybury,Jamaica,NE,Nebraska,City,25.0737,-84.9017,919,341039,150551,118976,2.27,Central/Chicago
430,Port Michaelbury,Congo,UT,Utah,CDP,35.4761,-115.5442,522,103319,40434,43496,3.48,Central/Chicago
431,Lake Sean,Gibraltar,MS,Mississippi,Village,34.8215,-101.5667,395,98530,45689,55503,0.78,Central/Chicago
432,Weaverport,Greenland,MD,Maryland,Hamlet,45.1942,-73.5854,854,279079,128903,27148,3.33,Central/Chicago
433,Penningtonview,Guatemala,WI,Wisconsin,City,33.3958,-120.2842,904,423083,179111,116805,2.82,Pacific/Los_Angeles
434,Christineshire,Uruguay,CA,California,CDP,42.6941,-113.9365,894,330834,114334,90230,1.17,Eastern/New_York
435,Briannastad,Gambia,NJ,New Jersey,Hamlet,39.1863,-77.9646,821,166304,75822,93970,1.85,Mountain/Denver
436,Dennisfurt,Kuwait,NH,New Hampshire,Village,35.0156,-86.865,720,286172,121144,30727,4.77,Eastern/New_York
437,Adamborough,Mexico,WV,West Virginia,CDP,46.8231,-80.3052,415,311983,152337,140290,0.54,Central/Chicago
438,Beasleyton,Libyan Arab Jamahiriya,HI,Hawaii,Hamlet,47.7521,-91.9524,301,278741,135574,98187,4.8,Eastern/New_York
